,N,x,xmobile,logQ,dlogQ_-2.50,mu_-2.50,ddxdmu_-2.50,dxdmu_-2.50,dxmobile,dxmobdmu_-2.50,V_-2.50,x_-2.50,xmobile_-2.50,S_-2.50,dS_-2.50,dx,dSmob_-2.50,dSmobvib_-2.50,dH_-2.50,dG_-2.50,min_amp_-2.50,max_amp_-2.50,total_amp_-2.50
0,0,0.0,0.0,0.0,5.6621034940177984874,-4.242961193570970174,-0.78760790468575077425,0.25143143614892347323,1.0,0.25143143614892347323,4.242961193570970174,0.0,0.0,0.0,46.956890804124344862,1.0,46.956890804124344862,46.956890804124344862,-395.6251509336204963,-409.38351993922892935,-11.321596173824640341,11.321596173824706177,22.643192347649346519
1,1,0.005,0.005,5.3042582481459390545,4.9464130022740796216,-4.224890883299323406,-0.6437730788016869574,0.30760743671666537227,1.0,0.30760743671666537227,4.224890883299323406,0.005,0.005,0.22026323375902676897,41.14840269948636273,1.0,41.14840269948636273,41.14840269948636273,-395.583518060185728,-407.64000005113523228,-11.321596173824640341,11.321596173824706177,22.643192347649346519
2,2,0.01,0.01,9.892826004548159243,4.3745573364144245726,-4.2104522266008025575,-0.47049544494673020906,0.4208954384665801868,1.0000000000000004,0.42089543846658037372,4.2104522266008025575,0.01,0.01,0.4114840269948636273,36.535607977705439695,1.0000000000000004,36.535607977705455922,36.535607977705455922,-395.54194832672618445,-406.2468814641938783,-11.321596173824640341,11.321596173824706177,22.643192347649346519
3,3,0.015,0.015,14.0533729209747882,4.0054221123806192035,-4.2011320133138649706,-0.32356056362197948596,0.61203190024339110796,1.0000000000000004,0.61203190024339137977,4.2011320133138649706,0.015,0.015,0.58561931353608105905,33.607873241166988543,1.0000000000000004,33.60787324116700347,33.60787324116700347,-395.50051073010098157,-405.3476175897629092,-11.321596173824640341,11.321596173824706177,22.643192347649346519
4,4,0.02,0.02,17.90367022930939765,3.7274362091704656007,-4.1941132089841991937,-0.25165113578693180246,0.78692029733197961793,1.0,0.78692029733197961793,4.1941132089841991937,0.02,0.02,0.7475627594065334358,31.43750261628000199,1.0,31.43750261628000199,31.43750261628000199,-395.45921765635106726,-404.67040592292110784,-11.321596173824640341,11.321596173824706177,22.643192347649346519
5,5,0.025,0.025,21.508245339315719401,3.5021198408067555985,-4.1884242460420020105,-0.20807309997125694669,0.9517298806272332815,1.0000000000000004,0.9517298806272337042,4.1884242460420020105,0.025,0.025,0.8999943396988811683,29.7045102944261745,1.0000000000000004,29.704510294426187691,29.704510294426187691,-395.4180829277509155,-404.12150444401778462,-11.321596173824640341,11.321596173824706177,22.643192347649346519
6,6,0.03,0.03,24.907909910922908847,3.3112900092279517073,-4.1836060260076496447,-0.17863677789075533804,1.1085588809628378476,0.9999999999999996,1.1085588809628373553,4.1836060260076496447,0.03,0.03,1.0446078623507951142,28.257661717305890957,0.9999999999999996,28.257661717305878408,28.257661717305878408,-395.37712200059945708,-403.65661688377008312,-11.321596173824640341,11.321596173824706177,22.643192347649346519
7,7,0.035,0.035,28.130825357771622816,3.1448462850252449224,-4.179403525382297847,-0.15735578213080178784,1.2584817914906430469,1.0000000000000004,1.2584817914906436058,4.179403525382297847,0.035,0.035,1.1825709568719401782,27.012918159720005214,1.0000000000000004,27.01291815972001721,27.01291815972001721,-395.33635219439533365,-403.25113721519329518,-11.321596173824640341,11.321596173824706177,22.643192347649346519
8,8,0.04,0.04,31.197602480973398692,2.9965784449663481316,-4.17565994361884112,-0.141228508132890734,1.4021913083656206184,1.0000000000000004,1.402191308365621241,4.17565994361884112,0.04,0.04,1.3147370439479951342,25.918578591898046026,1.0000000000000004,25.918578591898057536,25.918578591898057536,-395.29579295799702723,-402.88993648542315473,-11.321596173824640341,11.321596173824706177,22.643192347649346519
9,9,0.045,0.045,34.12398224770431908,2.8623892687594634544,-4.172271830912121809,-0.12857369661232115202,1.5402013927816530953,1.0,1.5402013927816530953,4.172271830912121809,0.045,0.045,1.4417567427909204912,24.94050213714346105,1.0,24.94050213714346105,24.94050213714346105,-395.2554661794681137,-402.5630333056511478,-11.321596173824640341,11.321596173824706177,22.643192347649346519
10,10,0.05,0.05,36.9223810184923256,2.7394310517417058276,-4.169167286199580072,-0.118372933287532977956,1.6729279329114942193,1.0,1.6729279329114942193,4.169167286199580072,0.05,0.05,1.5641420653194298696,24.054927407286318466,1.0,24.054927407286318466,24.054927407286318466,-395.21539654764142674,-402.26349027797631805,-11.321596173824640341,11.321596173824706177,22.643192347649346519
11,11,0.055,0.055,39.602844351187730734,2.6256434021843974985,-4.1662942871080701807,-0.10997195798661355947,1.8007262053248889584,1.0,1.8007262053248889584,4.1662942871080701807,0.055,0.055,1.6823060168637836119,23.244628093494680773,1.0,23.244628093494680773,23.244628093494680773,-395.17561197505402326,-401.98628800644796472,-11.321596173824640341,11.321596173824706177,22.643192347649346519
12,12,0.06,0.06,42.173667822861120598,2.5194871357684787087,-4.1636139711145720268,-0.10293066399533575862,1.9239105132592590062,1.0,1.9239105132592590062,4.1636139711145720268,0.06,0.06,1.7965883462543765452,22.496698750014267415,1.0,22.496698750014267415,22.496698750014267415,-395.13614409387124307,-401.72767682762542343,-11.321596173824640341,11.321596173824706177,22.643192347649346519
13,13,0.065,0.065,44.64181862272468815,2.4197820741937259813,-4.161096540159300097,-0.09694180641865352433,2.0427655921963299927,1.0,2.0427655921963299927,4.161096540159300097,0.065,0.065,1.9072730043639264325,21.801204187719244884,1.0,21.801204187719244884,21.801204187719244884,-395.09702883881198143,-401.48478166581372018,-11.321596173824640341,11.321596173824706177,22.643192347649346519
14,14,0.07,0.07,47.01323197124857256,2.32560352293117166,-4.1587186468354665364,-0.09178421405722870206,2.1575538738492519289,0.9999999999999991,2.1575538738492500126,4.1587186468354665364,0.07,0.07,2.01460038813156918,21.150316398336084137,0.9999999999999991,21.150316398336065351,21.150316398336065351,-395.05830713400228663,-401.25534983871475928,-11.321596173824640341,11.321596173824706177,22.643192347649346519
15,15,0.075,0.075,49.29302566858703147,2.2362136460792685771,-4.1564616616882660524,-0.08729450939698429283,2.2685205285571367704,1.0,2.2685205285571367704,4.1564616616882660524,0.075,0.075,2.1187761683472871952,20.537741204631493885,1.0,20.537741204631493885,20.537741204631493885,-395.0200257042373866,-401.0375838771944143,-11.321596173824640341,11.321596173824706177,22.643192347649346519
16,16,0.08,0.08,51.485659263407109715,2.1510145041372030743,-4.1543104874760445736,-0.08334930540967174818,2.3758972630191069425,1.0,2.3758972630191069425,4.1543104874760445736,0.08,0.08,2.2199778001778839897,19.95832451677261861,1.0,19.95832451677261861,19.95832451677261861,-394.98223803546320038,-400.83002711887757763,-11.321596173824640341,11.321596173824706177,22.643192347649346519
17,17,0.085,0.085,53.59505467686143762,2.0695150352599250808,-4.152252725487340945,-0.079853604847775409674,2.4799054090906144509,0.9999999999999982,2.4799054090906100458,4.152252725487340945,0.085,0.085,2.3183594135150135515,19.407773909233147505,0.9999999999999982,19.40777390923311303,19.40777390923311303,-394.945005514565732,-400.63148326997104423,-11.321596173824640341,11.321596173824706177,22.643192347649346519
18,18,0.09,0.09,55.624689333926959876,1.991307294441652255,-4.1502780756093084883,-0.07673301368925685654,2.580758621045900752,1.0,2.580758621045900752,4.1502780756093084883,0.09,0.09,2.414055539270215396,18.882456435786896087,1.0,18.882456435786896087,18.882456435786896087,-394.9083987849803556,-400.44095852066591615,-11.321596173824640341,11.321596173824706177,22.643192347649346519
19,19,0.095,0.095,57.57766926574474213,1.9160490078814113677,-4.148377895846765217,-0.07392837775792255803,2.6786653867318340914,1.0000000000000018,2.6786653867318388498,4.148377895846765217,0.095,0.095,2.5071839778728823899,18.379248063994931356,1.0000000000000018,18.379248063994964003,18.379248063994964003,-394.87249936243635431,-400.2576190451868692,-11.321596173824640341,11.321596173824706177,22.643192347649346519
20,20,0.1,0.1,59.456787349689782612,1.8434505389258071389,-4.146544873228177665,-0.07139200292947188442,2.7738315003294677034,1.0,2.7738315003294677034,4.146544873228177665,0.1,0.1,2.5978480199101648663,17.895418718233931876,1.0,17.895418718233931876,17.895418718233931876,-394.8374015646041618,-400.08075924904670384,-11.321596173824640341,11.321596173824706177,22.643192347649346519
21,21,0.105,0.105,61.264570343596356408,1.7732650020224675989,-4.144772774195067113,-0.069084936066876989624,2.8664626164766565022,1.0,2.8664626164766565022,4.144772774195067113,0.105,0.105,2.6861381650552216493,17.42854220299394255,1.0,17.42854220299394255,17.42854220299394255,-394.80321481980807835,-399.9097776852853035,-11.321596173824640341,11.321596173824706177,22.643192347649346519
22,22,0.11,0.11,63.00331735373471781,1.7052806667920531597,-4.143056252814110794,-0.066974971957458983955,2.956766995336207424,1.0,2.956766995336207424,4.143056252814110794,0.11,0.11,2.7721334419401041746,16.976423604548811164,1.0,16.976423604548811164,16.976423604548811164,-394.7700664336177215,-399.74415854975052317,-11.321596173824640341,11.321596173824706177,22.643192347649346519
23,23,0.115,0.115,64.67513167718046273,1.639315058107549631,-4.1413907018113543337,-0.06503516660322335857,3.0449585499726813552,1.0,3.0449585499726813552,4.1413907018113543337,0.115,0.115,2.8559024011007099057,16.537038907000370408,1.0,16.537038907000370408,16.537038907000370408,-394.73810490833359285,-399.5834573080847014,-11.321596173824640341,11.321596173824706177,22.643192347649346519
24,24,0.12,0.12,66.28194746994981707,1.5752103335856064426,-4.1397721358595172027,-0.063242709471238870225,3.1312603184315076666,1.0000000000000018,3.1312603184315132288,4.1397721358595172027,0.12,0.12,2.937503831010107828,16.108482953236489627,1.0000000000000018,16.10848295323651824,16.10848295323651824,-394.70750392936327303,-399.4272894346615645,-11.321596173824640341,11.321596173824706177,22.643192347649346519
25,25,0.125,0.125,67.82555234435167561,1.5128296391650718905,-4.13819709956080458,-0.06157805374713012231,3.215908502249667394,1.0,3.215908502249667394,4.13819709956080458,0.125,0.125,3.0169872306330746898,15.68892279852626459,1.0,15.68892279852626459,15.68892279852626459,-394.67846715430907265,-399.27532153427726816,-11.321596173824640341,11.321596173824706177,22.643192347649346519
26,26,0.13,0.13,69.30760674827996085,1.4520542260913461979,-4.1366625946542855967,-0.060024234110628828243,3.2991572409304023917,1.0,3.2991572409304023917,4.1366625946542855967,0.13,0.13,3.0943930589953706075,15.276554108295518852,1.0,15.276554108295518852,15.276554108295518852,-394.65123396499952438,-399.1272643187301114,-11.321596173824640341,11.321596173824706177,22.643192347649346519
27,27,0.135,0.135,70.72966079653436801,1.392781170943814234,-4.1351660224493723655,-0.05856632194332704079,3.3812843290553594858,1.0,3.3812843290553594858,4.1351660224493723655,0.135,0.135,3.1697527717160300085,14.869558647230670806,1.0,14.869558647230670806,14.869558647230670806,-394.62608636885705493,-398.9828670524956415,-11.321596173824640341,11.321596173824706177,22.643192347649346519
28,28,0.14,0.14,72.09316909016758932,1.3349215822046921164,-4.133705138543875109,-0.057190981779417927877,3.4625981306138408535,1.0000000000000018,3.4625981306138470044,4.133705138543875109,0.14,0.14,3.2430886454676774425,14.466061165905097496,1.0000000000000018,14.466061165905123193,14.466061165905123193,-394.6033572620729706,-398.84191318368316417,-11.321596173824640341,11.321596173824706177,22.643192347649346519
29,29,0.145,0.145,73.39950396094375224,1.2783992073849783783,-4.132278017655634657,-0.05588610247812322851,3.5434460056487551475,0.9999999999999982,3.543446005648748853,4.132278017655634657,0.145,0.145,3.314413383375080314,14.064084167920042123,0.9999999999999982,14.064084167920017141,14.064084167920017141,-394.58344028960355246,-398.7042169508041248,-11.321596173824640341,11.321596173824706177,22.643192347649346519
30,30,0.15,0.15,74.64996750493754608,1.2231493772484456593,-4.1308830269654685003,-0.054640483495829478278,3.624224639456158147,1.0,3.624224639456158147,4.1308830269654685003,0.15,0.15,3.3837294871468779945,13.661499183640240684,1.0,13.661499183640240684,13.661499183640240684,-394.5668015499508145,-398.569620810757405,-11.321596173824640341,11.321596173824706177,22.643192347649346519
31,31,0.155,0.155,75.84580271544064356,1.1691182403933194217,-4.129518806791293595,-0.05344356175503626842,3.7053927562887665904,1.0000000000000018,3.7053927562887731726,4.129518806791293595,0.155,0.155,3.4510283752114828374,13.255973338551013174,1.0000000000000018,13.255973338551036721,13.255973338551036721,-394.55399338597019626,-398.43799357416564313,-11.321596173824640341,11.321596173824706177,22.643192347649346519
32,32,0.16,0.16,76.98820398572418492,1.1162622537383731225,-4.1281842577235229414,-0.05228516865767848104,3.7874868090016308088,1.0,3.7874868090016308088,4.1281842577235229414,0.16,0.16,3.5162892205323882395,12.844910251692860409,1.0,12.844910251692860409,12.844910251692860409,-394.54567046038369196,-398.30922916412970006,-11.321596173824640341,11.321596173824706177,22.643192347649346519
33,33,0.165,0.165,78.078327222917389805,1.0645479030779624596,-4.1268785335694217102,-0.05115531033339182007,3.8711403626872013747,0.9999999999999982,3.8711403626871944983,4.1268785335694217102,0.165,0.165,3.579477477728411551,12.425384724468865244,0.9999999999999982,12.425384724468843172,12.425384724468843172,-394.5426082111931398,-398.1832459354625173,-11.321596173824640341,11.321596173824706177,22.643192347649346519
34,34,0.17,0.17,79.11729979188010984,1.0139516330715894823,-4.125601039585429294,-0.05004396774498990827,3.9571080296127843464,1.0000000000000036,3.9571080296127984048,4.125601039585429294,0.17,0.17,3.6405430677770769978,11.994071413103525314,1.0000000000000036,11.994071413103567926,11.994071413103567926,-394.54572358009478975,-398.05998650413412265,-11.321596173824640341,11.321596173824706177,22.643192347649346519
35,35,0.175,0.175,80.10623048906056877,0.9644599675879826431,-4.1243514355157002574,-0.04894091728630122276,4.0462949527268473127,1.0,4.0462949527268473127,4.1243514355157002574,0.175,0.175,3.699418191859446134,11.547168903728557643,1.0,11.547168903728557643,11.547168903728557643,-394.5560975516537958,-397.93941804044626318,-11.321596173824640341,11.321596173824706177,22.643192347649346519
36,36,0.18,0.18,81.046219727056075126,0.91606979849898703683,-4.1231296428837971306,-0.047835577525224206794,4.139792949984972109,1.0,4.139792949984972109,4.1231296428837971306,0.18,0.18,3.7560147568143627999,11.080322580295631912,1.0,11.080322580295631912,11.080322580295631912,-394.57499845654718562,-397.82153297257380578,-11.321596173824640341,11.321596173824706177,22.643192347649346519
37,37,0.185,0.185,81.93837008605854284,0.8687888125375342295,-4.1219358557703324845,-0.04671689432579399434,4.238924471656155379,1.0000000000000036,4.2389244716561704385,4.1219358557703324845,0.185,0.185,3.8102214176624025475,10.588552720504472965,1.0000000000000036,10.588552720504510583,10.588552720504510583,-394.60390407934130214,-397.7063500264491127,-11.321596173824640341,11.321596173824706177,22.643192347649346519
38,38,0.19,0.19,82.783797352131143585,0.82263600984739904814,-4.12077055390571657,-0.045573285268233884593,4.345295394699488685,1.0000000000000036,4.345295394699504123,4.12077055390571657,0.19,0.19,3.8619002840194076199,10.0661987636827763015,1.0000000000000036,10.066198763682812064,10.066198763682812064,-394.64451925126109225,-397.5939154890201457,-11.321596173824640341,11.321596173824706177,22.643192347649346519
39,39,0.195,0.195,83.58364210575334094,0.7776422420010664603,-4.119634516254450946,-0.044392675445606061962,4.4608572159618165302,1.0,4.4608572159618165302,4.119634516254450946,0.195,0.195,3.9108834052992303963,9.506897058619225321,1.0,9.506897058619225321,9.506897058619225321,-394.6987836807601153,-397.48430451893554832,-11.321596173824640341,11.321596173824706177,22.643192347649346519
40,40,0.2,0.2,84.339081836133276505,0.7338506589561869242,-4.1185288323002327516,-0.043162670231321906278,4.5879781194278043055,1.0,4.5879781194278043055,4.1185288323002327516,0.2,0.2,3.956969254605599954,8.903617863223085349,1.0,8.903617863223085349,8.903617863223085349,-394.76886220146731563,-397.37762223539167963,-11.321596173824640341,11.321596173824706177,22.643192347649346519
41,41,0.205,0.205,85.05134342366571479,0.69131690153842264776,-4.1174549069059113407,-0.041870925312560302103,4.729520188988480468,0.9999999999999964,4.7295201889884636655,4.1174549069059113407,0.205,0.205,3.9999195839314606047,8.248797731233411007,0.9999999999999964,8.248797731233381701,8.248797731233381701,-394.857106451795755,-397.27400418704714444,-11.321596173824640341,11.321596173824706177,22.643192347649346519
42,42,0.21,0.21,85.7217156392101218,0.65010880833106632,-4.1164144529128093657,-0.04050578707950378693,4.888915902527592474,1.0,4.888915902527592474,4.1164144529128093657,0.21,0.21,4.039457231917934384,7.534614525115655298,1.0,7.534614525115655298,7.534614525115655298,-394.96597358210694279,-397.1736156379658298,-11.321596173824640341,11.321596173824706177,22.643192347649346519
43,43,0.215,0.215,86.35156104032784743,0.6103053273794150739,-4.115409463662588224,-0.03905728122355170591,5.070229683011581263,1.0,5.070229683011581263,4.115409463662588224,0.215,0.215,4.0752657291826172217,6.753461259529586924,1.0,6.753461259529586924,6.753461259529586924,-395.09788476733779783,-397.0766489163799668,-11.321596173824640341,11.321596173824706177,22.643192347649346519
44,44,0.22,0.22,86.94232629396895195,0.5719942458839629082,-4.11444215567477571,-0.037518513956500897447,5.2781777771629960357,1.0,5.2781777771629960357,4.11444215567477571,0.22,0.22,4.1069918445132303107,5.8986763001758176495,1.0,5.8986763001758176495,5.8986763001758176495,-395.2550057279608332,-396.98331788391234778,-11.321596173824640341,11.321596173824706177,22.643192347649346519
45,45,0.225,0.225,87.495549532095773244,0.535268299466413279,-4.113514870410487692,-0.035887504388101123046,5.518059557884483668,1.0,5.518059557884483668,4.113514870410487692,0.225,0.225,4.1342524921843754487,4.965572347422917532,1.0,4.965572347422917532,4.965572347422917532,-395.43893575942147153,-396.89384845721638637,-11.321596173824640341,11.321596173824706177,22.643192347649346519
46,46,0.23,0.23,88.01286289290177851,0.5002192371077606621,-4.1126299244193679112,-0.034169372643211881266,5.795523045305997129,1.0,5.795523045305997129,4.1126299244193679112,0.23,0.23,4.1566475679874595284,3.9527636577326570877,1.0,3.9527636577326570877,3.9527636577326570877,-395.6503043976381657,-396.80846414935383423,-11.321596173824640341,11.321596173824706177,22.643192347649346519
47,47,0.235,0.235,88.49598800631129457,0.46692955417998951648,-4.1117894006087414354,-0.03237865662580662572,6.1160470270884621596,0.9999999999999964,6.116047027088440431,4.1117894006087414354,0.235,0.235,4.1737801287617014565,2.8637092473451277452,0.9999999999999964,2.8637092473451175713,2.8637092473451175713,-395.88829912085760587,-396.7273659303297283,-11.321596173824640341,11.321596173824706177,22.643192347649346519
48,48,0.24,0.24,88.94672200126175754,0.43546192385614741066,-4.1109948813996348713,-0.030541330809115229891,6.483980276926235964,1.0,6.483980276926235964,4.1109948813996348713,0.24,0.24,4.1852846604609112383,1.7082667780702426308,1.0,1.7082667780702426308,1.7082667780702426308,-396.15018431458779527,-396.65070648056237637,-11.321596173824640341,11.321596173824706177,22.643192347649346519
49,49,0.245,0.245,89.36691185402358939,0.4058468925617590567,-4.110247138051961952,-0.028695899314514486042,6.9009646440046852134,1.0,6.9009646440046852134,4.110247138051961952,0.245,0.245,4.1908627965424038973,0.5039049809470597663,1.0,0.5039049809470597663,0.5039049809470597663,-396.43091605590321827,-396.57856021532070678,-11.321596173824640341,11.321596173824706177,22.643192347649346519
50,50,0.25,0.25,89.75841578638527565,0.37807012522711843858,-4.109545808622731479,-0.026892825541511894763,7.363651182420517236,1.0,7.363651182420517236,4.109545808622731479,0.25,0.25,4.1903237102703818403,-0.72389897846912129586,1.0,-0.72389897846912129586,-0.72389897846912129586,-396.7229946131064573,-396.51089221241500477,-11.321596173824640341,11.321596173824706177,22.643192347649346519
51,51,0.255,0.255,90.12305210447782627,0.35206124147873526717,-4.1088891160935246314,-0.025191665825948512947,7.8609087610793827645,1.0,7.8609087610793827645,4.1088891160935246314,0.255,0.255,4.1836238067577126783,-1.9425662426673061534,1.0,-1.9425662426673061534,-1.9425662426673061534,-397.01670292473446558,-396.44753101563294487,-11.321596173824640341,11.321596173824706177,22.643192347649346519
52,52,0.26,0.26,90.46253826934274619,0.32768679357522141268,-4.1082736910719577566,-0.023655694144054547484,8.371320046304962751,1.0,8.371320046304962751,4.1082736910719577566,0.26,0.26,4.170898047843708762,-3.114940258559843106,1.0,-3.114940258559843106,-3.114940258559843106,-397.30082902378937756,-396.38815152803134353,-11.321596173824640341,11.321596173824706177,22.643192347649346519
53,53,0.265,0.265,90.77842569162826909,0.3047498531906261722,-4.107694561358466578,-0.02234452315675390828,8.86254699678054759,1.0,8.86254699678054759,4.107694561358466578,0.265,0.265,4.1524744041721142205,-4.2033412219165484647,1.0,-4.2033412219165484647,-4.2033412219165484647,-397.5638529833054172,-396.3322740052838685,-11.321596173824640341,11.321596173824706177,22.643192347649346519
54,54,0.27,0.27,91.07203797572399853,0.28299774726171359612,-4.107145347266995972,-0.021306042618077126669,9.2945175294714082615,1.0,9.2945175294714082615,4.107145347266995972,0.27,0.27,4.1288646356245432417,-5.174523518808132161,1.0,-5.174523518808132161,-5.174523518808132161,-397.7954182922734446,-396.27928290126266186,-11.321596173824640341,11.321596173824706177,22.643192347649346519
55,55,0.275,0.275,91.344421186151696285,0.26213776795447191886,-4.1066186582824551954,-0.020569550722707040727,9.627307337285451298,1.0,9.627307337285451298,4.1066186582824551954,0.275,0.275,4.1007291689840328548,-6.004440252006999379,1.0,-6.004440252006999379,-6.004440252006999379,-397.9877661335026971,-396.22846513966464627,-11.321596173824640341,11.321596173824706177,22.643192347649346519
56,56,0.28,0.28,91.59631351163294237,0.24185864581629951467,-4.1061066352315682515,-0.020141899735085086118,9.831713453147432635,1.0000000000000036,9.831713453147467564,4.1061066352315682515,0.28,0.28,4.0688202331044731968,-6.6815802839528957713,1.0000000000000036,-6.6815802839529195092,-6.6815802839529195092,-398.1367654487442873,-396.17906242554608884,-11.321596173824640341,11.321596173824706177,22.643192347649346519
57,57,0.285,0.285,91.828138477784295314,0.22185396848430174663,-4.1056015415766383986,-0.020007711426443362465,9.897653078685227472,0.9999999999999964,9.897653078685192308,4.1056015415766383986,0.285,0.285,4.0339133661445038055,-7.207976345745422009,0.9999999999999964,-7.207976345745396401,-7.207976345745396401,-398.2422653658012595,-396.13032829649785085,-11.321596173824640341,11.321596173824706177,22.643192347649346519
58,58,0.29,0.29,92.04002144860154586,0.20184322296341278974,-4.1050962947073549735,-0.020133507517672229875,9.835811590382948783,1.0,9.835811590382948783,4.1050962947073549735,0.29,0.29,3.9967404696470197143,-7.5976893384305340673,1.0,-7.5976893384305340673,-7.5976893384305340673,-398.3077023606719693,-396.0815793845118228,-11.321596173824640341,11.321596173824706177,22.643192347649346519
59,59,0.295,0.295,92.231824923711120894,0.18158695344895728688,-4.1045848486572887046,-0.020474466864903595117,9.6720167564819852155,1.0,9.6720167564819852155,4.1045848486572887046,0.295,0.295,3.9579364727601984,-7.8733438314384882606,1.0,-7.8733438314384882606,-7.8733438314384882606,-398.33912208512055944,-396.03223234250908238,-11.321596173824640341,11.321596173824706177,22.643192347649346519
60,60,0.3,0.3,92.40319535549946044,0.1608942892336055995,-4.1040623841743424857,-0.020981939817948149982,9.438087627531299006,1.0,9.438087627531299006,4.1040623841743424857,0.3,0.3,3.9180070313326347646,-8.061783359158377488,1.0,-8.061783359158377488,-8.061783359158377488,-398.34392470758386898,-395.98182218335046437,-11.321596173824640341,11.321596173824706177,22.643192347649346519
61,61,0.305,0.305,92.55361350217833209,0.13962307381306098691,-4.1035253119805121954,-0.021609984137955057584,9.163791390738252357,1.0,9.163791390738252357,4.1035253119805121954,0.305,0.305,3.8773186391686145563,-8.18996264826173298,1.0,-8.18996264826173298,-8.18996264826173298,-398.32966165029635347,-395.9300025943556657,-11.321596173824640341,11.321596173824706177,22.643192347649346519
62,62,0.31,0.31,92.68244150312558241,0.117674320957695484335,-4.1029711327944707335,-0.022319843395221812543,8.872346597188781613,1.0000000000000036,8.872346597188813134,4.1029711327944707335,0.31,0.31,3.8361074048500173649,-8.281868039771243389,1.0000000000000036,-8.281868039771272813,-8.281868039771272813,-398.30311976718875103,-395.8765324315357767,-11.321596173824640341,11.321596173824706177,22.643192347649346519
63,63,0.315,0.315,92.78896214409372306,0.09498338702261736183,-4.1023982144431855408,-0.023082094082558970993,8.57935098475382526,1.0000000000000036,8.57935098475385574,4.1023982144431855408,0.315,0.315,3.7944999587709020519,-8.356777039098809312,1.0000000000000036,-8.356777039098839001,-8.356777039098839001,-398.26978988658962264,-395.8212542141336715,-11.321596173824640341,11.321596173824706177,22.643192347649346519
64,64,0.32,0.32,92.872408277170817134,0.07151013279257754235,-4.101805543460525686,-0.023876817593393133074,8.293793166647917869,0.9999999999999964,8.293793166647888404,4.101805543460525686,0.32,0.32,3.7525396344590292005,-8.42875086758088643,0.9999999999999964,-8.428750867580856485,-8.428750867580856485,-398.2336941617343133,-395.76407015753311355,-11.321596173824640341,11.321596173824706177,22.643192347649346519
65,65,0.325,0.325,92.931982409678878146,0.04722975183583109568,-4.101192493514405534,-0.024692463773408059383,8.019831006521334679,0.9999999999999964,8.0198310065213061874,4.101192493514405534,0.325,0.325,3.7102124500950931156,-8.507015613906424467,0.9999999999999964,-8.507015613906394244,-8.507015613906394244,-398.19747540474938466,-395.70491982987480228,-11.321596173824640341,11.321596173824706177,22.643192347649346519
